Rank,Title,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ",2015
2,Avengers: Endgame,"$858,373,000 ",2019
3,Spider-Man: No Way Home,"$814,115,070 ",2021
4,Avatar,"$785,221,649 ",2009
5,Top Gun: Maverick,"$718,732,821 ",2022
6,Black Panther,"$700,426,566 ",2018
7,Avengers: Infinity War,"$678,815,482 ",2018
8,Titanic,"$673,830,512 ",1997
9,Avatar: The Way of Water,"$665,383,862 ",2022
10,Jurassic World,"$653,406,625 ",2015
11,The Avengers,"$623,357,910 ",2012
12,Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ",2017
13,Incredibles 2,"$608,581,744 ",2018
14,The Lion King,"$543,638,043 ",2019
15,The Dark Knight,"$534,987,076 ",2008
16,Rogue One: A Star Wars Story,"$533,539,991 ",2016
17,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542 ",2019
18,Beauty and the Beast,"$504,481,165 ",2017
19,Finding Dory,"$486,295,561 ",2016
20,Frozen II,"$477,373,578 ",2019
21,Star Wars: Episode I - The Phantom Menace,"$474,544,677 ",1999
22,Star Wars: Episode IV - A New Hope,"$460,998,507 ",1977
23,Avengers: Age of Ultron,"$459,005,868 ",2015
24,Black Panther: Wakanda Forever,"$453,785,634 ",2022
25,The Dark Knight Rises,"$448,149,584 ",2012
26,Shrek 2,"$441,226,247 ",2004
27,E.T. the Extra-Terrestrial,"$437,141,279 ",1982
28,Toy Story 4,"$434,038,008 ",2019
29,Captain Marvel,"$426,829,839 ",2019
30,The Hunger Games: Catching Fire,"$424,668,047 ",2013
31,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ",2006
32,The Lion King,"$422,783,777 ",1994
33,Jurassic World: Fallen Kingdom,"$417,719,760 ",2018
34,Toy Story 3,"$415,004,880 ",2010
35,Wonder Woman,"$412,845,172 ",2017
36,Doctor Strange in the Multiverse of Madness,"$411,331,607 ",2022
37,Iron Man 3,"$409,013,994 ",2013
38,Captain America: Civil War,"$408,084,349 ",2016
39,The Hunger Games,"$408,010,692 ",2012
40,Spider-Man,"$407,022,860 ",2002
41,Jumanji: Welcome to the Jungle,"$404,540,171 ",2017
42,Jurassic Park,"$404,214,720 ",1993
43,Transformers: Revenge of the Fallen,"$402,111,870 ",2009
44,Frozen,"$400,953,009 ",2013
45,Spider-Man: Far from Home,"$390,532,085 ",2019
46,Guardians of the Galaxy Vol. 2,"$389,813,101 ",2017
47,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587 ",2011
48,Finding Nemo,"$380,843,261 ",2003
49,Star Wars: Episode III - Revenge of the Sith,"$380,270,577 ",2005
50,The Lord of the Rings: The Return of the King,"$378,251,207 ",2003
51,Jurassic World: Dominion,"$376,851,080 ",2022
52,Spider-Man 2,"$373,585,825 ",2004
53,The Passion of the Christ,"$370,782,930 ",2004
54,Minions: The Rise of Gru,"$369,695,210 ",2022
55,The Batman,"$369,345,583 ",2022
56,The Secret Life of Pets,"$368,384,330 ",2016
57,Despicable Me 2,"$368,065,385 ",2013
58,The Jungle Book,"$364,001,123 ",2016
59,Deadpool,"$363,070,709 ",2016
60,Inside Out,"$356,921,711 ",2015
61,Aladdin,"$355,559,216 ",2019
62,Furious 7,"$353,007,020 ",2015
63,Transformers: Dark of the Moon,"$352,390,543 ",2011
64,American Sniper,"$350,159,020 ",2014
65,Thor: Love and Thunder,"$343,256,830 ",2022
66,The Lord of the Rings: The Two Towers,"$342,952,511 ",2002
67,Zootopia,"$341,268,248 ",2016
68,The Hunger Games: Mockingjay - Part 1,"$337,135,885 ",2014
69,Spider-Man 3,"$336,530,303 ",2007
70,Minions,"$336,045,770 ",2015
71,Joker,"$335,477,657 ",2019
72,Aquaman,"$335,104,314 ",2018
73,Spider-Man: Homecoming,"$334,201,140 ",2017
74,Alice in Wonderland,"$334,191,110 ",2010
75,Guardians of the Galaxy,"$333,718,600 ",2014
76,Forrest Gump,"$330,455,270 ",1994
77,Batman v Superman: Dawn of Justice,"$330,360,194 ",2016
78,It,"$328,874,981 ",2017
79,Suicide Squad,"$325,100,054 ",2016
80,Deadpool 2,"$324,591,735 ",2018
81,Shrek the Third,"$322,719,944 ",2007
82,Jumanji: The Next Level,"$320,314,960 ",2019
83,Transformers,"$319,246,193 ",2007
84,Iron Man,"$319,034,126 ",2008
85,Harry Potter and the Sorcerer's Stone,"$318,886,962 ",2001
86,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119 ",2008
87,The Lord of the Rings: The Fellowship of the Ring,"$316,115,420 ",2001
88,Thor: Ragnarok,"$315,058,289 ",2017
89,Iron Man 2,"$312,433,331 ",2010
90,Star Wars: Episode II - Attack of the Clones,"$310,676,740 ",2002
91,Pirates of the Caribbean: At World's End,"$309,420,425 ",2007
92,Star Wars: Episode VI - Return of the Jedi,"$309,306,177 ",1983
93,Independence Day,"$306,169,268 ",1996
94,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918 ",2003
95,Skyfall,"$304,360,277 ",2012
96,The Hobbit: An Unexpected Journey,"$303,030,651 ",2012
97,Harry Potter and the Half-Blood Prince,"$302,334,374 ",2009
98,The Twilight Saga: Eclipse,"$300,531,751 ",2010
99,The Twilight Saga: New Moon,"$297,816,253 ",2009
100,Harry Potter and the Deathly Hallows: Part 1,"$296,374,621 ",2010
101,The Sixth Sense,"$293,506,292 ",1999
102,Up,"$293,004,164 ",2009
103,Star Wars: Episode V - The Empire Strikes Back,"$292,753,960 ",1980
104,Inception,"$292,587,330 ",2010
105,Harry Potter and the Order of the Phoenix,"$292,382,727 ",2007
106,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737 ",2012
107,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 ",2005
108,Man of Steel,"$291,045,518 ",2013
109,"Monsters, Inc.","$290,642,256 ",2001
110,Harry Potter and the Goblet of Fire,"$290,469,928 ",2005
111,Home Alone,"$285,761,243 ",1990
112,The Hunger Games: Mockingjay - Part 2,"$281,723,902 ",2015
113,The Matrix Reloaded,"$281,576,461 ",2003
114,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ",2011
115,Meet the Fockers,"$279,261,160 ",2004
116,The Hangover,"$277,339,746 ",2009
117,Gravity,"$274,092,705 ",2013
118,The Grinch,"$271,384,731 ",2018
119,Sing,"$270,578,425 ",2016
120,Monsters University,"$268,492,764 ",2013
121,Shrek,"$268,163,011 ",2001
122,Jaws,"$265,859,065 ",1975
123,Despicable Me 3,"$264,624,300 ",2017
124,Harry Potter and the Chamber of Secrets,"$262,641,637 ",2002
125,The Amazing Spider-Man,"$262,030,663 ",2012
126,The Incredibles,"$261,441,092 ",2004
127,How the Grinch Stole Christmas,"$260,715,005 ",2000
128,Captain America: The Winter Soldier,"$259,766,572 ",2014
129,The Hobbit: The Desolation of Smaug,"$258,387,334 ",2013
130,The Lego Movie,"$257,966,122 ",2014
131,Star Trek,"$257,730,019 ",2009
132,I Am Legend,"$256,393,010 ",2007
133,The Blind Side,"$255,982,860 ",2009
134,The Hobbit: The Battle of the Five Armies,"$255,138,261 ",2014
135,The Hangover Part II,"$254,464,305 ",2011
136,Despicable Me,"$251,557,985 ",2010
137,Batman,"$251,409,241 ",1989
138,Night at the Museum,"$250,863,268 ",2006
139,Men in Black,"$250,690,539 ",1997
140,Harry Potter and the Prisoner of Azkaban,"$250,105,651 ",2004
141,Moana,"$248,757,044 ",2016
142,Indiana Jones and the Raiders of the Lost Ark,"$248,159,971 ",1981
143,Toy Story 2,"$245,852,179 ",1999
144,Transformers: Age of Extinction,"$245,439,076 ",2014
145,Cars,"$244,082,982 ",2006
146,Ghostbusters,"$243,578,797 ",1984
147,Bruce Almighty,"$242,829,261 ",2003
148,Twister,"$241,830,615 ",1996
149,My Big Fat Greek Wedding,"$241,438,208 ",2002
150,Maleficent,"$241,410,378 ",2014
151,Pirates of the Caribbean: On Stranger Tides,"$241,071,802 ",2011
152,Shrek Forever After,"$238,736,787 ",2010
153,Fast & Furious 6,"$238,679,850 ",2013
154,Brave,"$237,283,207 ",2012
155,Oz the Great and Powerful,"$234,911,825 ",2013
156,Beverly Hills Cop,"$234,760,478 ",1984
157,X-Men: The Last Stand,"$234,362,462 ",2006
158,War of the Worlds,"$234,280,354 ",2005
159,Fantastic Beasts and Where to Find Them,"$234,037,575 ",2016
160,X-Men: Days of Future Past,"$233,921,534 ",2014
161,Cast Away,"$233,632,142 ",2000
162,The Exorcist,"$233,005,644 ",1973
163,Doctor Strange,"$232,641,920 ",2016
164,The Lost World: Jurassic Park,"$229,086,679 ",1997
165,Justice League,"$229,024,295 ",2017
166,Star Trek Into Darkness,"$228,778,661 ",2013
167,The Martian,"$228,433,663 ",2015
168,Signs,"$227,966,634 ",2002
169,Hancock,"$227,946,274 ",2008
170,The Bourne Ultimatum,"$227,471,070 ",2007
171,Logan,"$226,277,068 ",2017
172,Rush Hour 2,"$226,164,286 ",2001
173,The Fate of the Furious,"$226,008,385 ",2017
174,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ",2021
175,WALLÂ·E,"$223,808,164 ",2008
176,Toy Story,"$223,225,679 ",1995
177,Big Hero 6,"$222,527,828 ",2014
178,Mission: Impossible - Fallout,"$220,159,104 ",2018
179,National Treasure: Book of Secrets,"$219,964,115 ",2007
180,Alvin and the Chipmunks: The Squeakquel,"$219,614,612 ",2009
181,Mrs. Doubtfire,"$219,195,243 ",1993
182,Beauty and the Beast,"$218,967,620 ",1991
183,Ted,"$218,815,487 ",2012
184,King Kong,"$218,080,025 ",2005
185,Ghost,"$217,631,306 ",1990
186,How to Train Your Dragon,"$217,581,231 ",2010
187,The Da Vinci Code,"$217,536,138 ",2006
188,Aladdin,"$217,350,219 ",1992
189,Alvin and the Chipmunks,"$217,326,974 ",2007
190,Saving Private Ryan,"$217,049,603 ",1998
191,Bohemian Rhapsody,"$216,668,042 ",2018
192,Ant-Man and the Wasp,"$216,648,740 ",2018
193,Madagascar 3: Europe's Most Wanted,"$216,391,482 ",2012
194,Kung Fu Panda,"$215,771,591 ",2008
195,Mission: Impossible II,"$215,409,889 ",2000
196,A Star Is Born,"$215,333,122 ",2018
197,X2: X-Men United,"$214,949,694 ",2003
198,The Lorax,"$214,373,500 ",2012
199,Solo: A Star Wars Story,"$213,767,512 ",2018
200,Venom: Let There Be Carnage,"$213,550,366 ",2021
