Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign Percentage,Year
22,The Fate of the Furious,"$1,236,005,118 ","$226,008,385 ",18.30%,"$1,009,996,733 ",81.70%,2017
77,Ice Age: Continental Drift,"$877,244,782 ","$161,321,843 ",18.40%,"$715,922,939 ",81.60%,2012
174,Life of Pi,"$609,016,565 ","$124,987,023 ",20.50%,"$484,029,542 ",79.50%,2012
109,No Time to Die,"$774,153,007 ","$160,891,007 ",20.80%,"$613,262,000 ",79.20%,2021
140,Mamma Mia!,"$694,476,782 ","$144,169,664 ",20.80%,"$550,307,118 ",79.20%,2008
102,2012,"$791,217,826 ","$166,112,167 ",21%,"$625,105,659 ",79%,2009
175,Transformers: The Last Knight,"$605,425,157 ","$130,168,683 ",21.50%,"$475,256,474 ",78.50%,2017
99,Pirates of the Caribbean: Dead Men Tell No Tales,"$795,922,298 ","$172,558,876 ",21.70%,"$623,363,422 ",78.30%,2017
33,Transformers: Age of Extinction,"$1,104,054,072 ","$245,439,076 ",22.20%,"$858,614,996 ",77.80%,2014
74,Ice Age: Dawn of the Dinosaurs,"$886,686,817 ","$196,573,705 ",22.20%,"$690,113,112 ",77.80%,2009
75,Spectre,"$880,705,312 ","$200,074,609 ",22.70%,"$680,630,703 ",77.30%,2015
114,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926 ","$173,956,935 ",22.90%,"$586,775,991 ",77.10%,2019
42,Pirates of the Caribbean: On Stranger Tides,"$1,046,721,266 ","$241,071,802 ",23%,"$805,649,464 ",77%,2011
179,Ready Player One,"$592,241,728 ","$137,715,350 ",23.20%,"$454,526,378 ",76.80%,2018
11,Furious 7,"$1,515,341,399 ","$353,007,020 ",23.30%,"$1,162,334,379 ",76.70%,2015
68,Bohemian Rhapsody,"$910,809,311 ","$216,668,042 ",23.80%,"$694,141,269 ",76.20%,2018
129,F9: The Fast Saga,"$726,229,501 ","$173,005,945 ",23.80%,"$553,223,556 ",76.20%,2021
110,Interstellar,"$774,136,705 ","$188,020,017 ",24.30%,"$586,116,688 ",75.70%,2014
153,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901 ","$159,555,901 ",24.40%,"$495,300,000 ",75.60%,2018
149,Kung Fu Panda 2,"$665,692,281 ","$165,249,063 ",24.80%,"$500,443,218 ",75.20%,2011
85,Venom,"$856,085,151 ","$213,515,506 ",24.90%,"$642,569,645 ",75.10%,2018
191,The Smurfs,"$563,749,323 ","$142,614,158 ",25.30%,"$421,135,165 ",74.70%,2011
43,Despicable Me 3,"$1,034,800,131 ","$264,624,300 ",25.60%,"$770,175,831 ",74.40%,2017
94,Coco,"$814,337,054 ","$210,460,015 ",25.80%,"$603,877,039 ",74.20%,2017
57,The Hobbit: The Battle of the Five Armies,"$962,201,338 ","$255,138,261 ",26.50%,"$707,063,077 ",73.50%,2014
28,Skyfall,"$1,142,471,295 ","$304,360,277 ",26.60%,"$838,111,018 ",73.40%,2012
1,Avatar,"$2,923,706,026 ","$785,221,649 ",26.90%,"$2,138,484,377 ",73.10%,2009
59,The Hobbit: The Desolation of Smaug,"$959,027,992 ","$258,387,334 ",26.90%,"$700,640,658 ",73.10%,2013
194,Puss in Boots,"$554,987,477 ","$149,260,504 ",26.90%,"$405,726,973 ",73.10%,2011
172,Casino Royale,"$616,505,162 ","$167,445,960 ",27.20%,"$449,059,202 ",72.80%,2006
155,Men in Black 3,"$654,213,485 ","$179,020,854 ",27.40%,"$475,192,631 ",72.60%,2012
101,Mission: Impossible - Fallout,"$791,657,398 ","$220,159,104 ",27.80%,"$571,498,294 ",72.20%,2018
16,Harry Potter and the Deathly Hallows: Part 2,"$1,342,359,942 ","$381,447,587 ",28.40%,"$960,912,355 ",71.60%,2011
67,Harry Potter and the Chamber of Secrets,"$925,668,380 ","$262,641,637 ",28.40%,"$663,026,743 ",71.60%,2002
169,How to Train Your Dragon 2,"$621,537,519 ","$177,002,924 ",28.50%,"$444,534,595 ",71.50%,2014
115,The Da Vinci Code,"$760,006,945 ","$217,536,138 ",28.60%,"$542,470,807 ",71.40%,2006
135,The Amazing Spider-Man 2,"$708,982,323 ","$202,853,933 ",28.60%,"$506,128,390 ",71.40%,2014
143,Mission: Impossible - Rogue Nation,"$682,716,636 ","$195,042,377 ",28.60%,"$487,674,259 ",71.40%,2015
180,Quantum of Solace,"$589,580,482 ","$168,368,427 ",28.60%,"$421,212,055 ",71.40%,2008
95,Fantastic Beasts and Where to Find Them,"$814,044,001 ","$234,037,575 ",28.80%,"$580,006,426 ",71.20%,2016
24,Minions,"$1,159,444,662 ","$336,045,770 ",29%,"$823,398,892 ",71%,2015
121,Madagascar 3: Europe's Most Wanted,"$746,921,274 ","$216,391,482 ",29%,"$530,529,792 ",71%,2012
26,Aquaman,"$1,148,528,393 ","$335,104,314 ",29.20%,"$813,424,079 ",70.80%,2018
189,Fifty Shades of Grey,"$569,651,467 ","$166,167,230 ",29.20%,"$403,484,237 ",70.80%,2015
148,Ice Age: The Meltdown,"$667,094,506 ","$195,330,621 ",29.30%,"$471,763,885 ",70.70%,2006
3,Avatar: The Way of Water,"$2,250,471,788 ","$661,783,862 ",29.40%,"$1,588,687,926 ",70.60%,2022
133,Dawn of the Planet of the Apes,"$710,644,566 ","$208,545,589 ",29.40%,"$502,098,977 ",70.60%,2014
190,Kong: Skull Island,"$566,652,812 ","$168,052,812 ",29.70%,"$398,600,000 ",70.30%,2017
49,The Hobbit: An Unexpected Journey,"$1,017,030,651 ","$303,030,651 ",29.80%,"$714,000,000 ",70.20%,2012
176,Madagascar: Escape 2 Africa,"$603,900,354 ","$180,010,950 ",29.80%,"$423,889,404 ",70.20%,2008
4,Titanic,"$2,247,531,869 ","$673,326,512 ",30%,"$1,574,205,357 ",70%,1997
139,Mission: Impossible - Ghost Protocol,"$694,713,380 ","$209,397,903 ",30.10%,"$485,315,477 ",69.90%,2011
53,Harry Potter and the Deathly Hallows: Part 1,"$977,070,383 ","$296,374,621 ",30.30%,"$680,695,762 ",69.70%,2010
105,Fast & Furious 6,"$788,680,968 ","$238,679,850 ",30.30%,"$550,001,118 ",69.70%,2013
2,Avengers: Endgame,"$2,799,439,100 ","$858,373,000 ",30.70%,"$1,941,066,100 ",69.30%,2019
62,Harry Potter and the Order of the Phoenix,"$942,278,045 ","$292,382,727 ",31%,"$649,895,318 ",69%,2007
19,Frozen,"$1,284,540,518 ","$400,953,009 ",31.20%,"$883,587,509 ",68.80%,2013
36,Joker,"$1,074,458,282 ","$335,477,657 ",31.20%,"$738,980,625 ",68.80%,2019
48,Harry Potter and the Sorcerer's Stone,"$1,023,842,938 ","$318,886,962 ",31.20%,"$704,955,976 ",68.80%,2001
31,Transformers: Dark of the Moon,"$1,123,794,079 ","$352,390,543 ",31.40%,"$771,403,536 ",68.60%,2011
98,Harry Potter and the Prisoner of Azkaban,"$797,660,766 ","$250,105,651 ",31.40%,"$547,555,115 ",68.60%,2004
123,X-Men: Days of Future Past,"$746,045,700 ","$233,921,534 ",31.40%,"$512,124,166 ",68.60%,2014
119,Shrek Forever After,"$752,600,867 ","$238,736,787 ",31.70%,"$513,864,080 ",68.30%,2010
116,Maleficent,"$759,853,685 ","$241,410,378 ",31.80%,"$518,443,307 ",68.20%,2014
18,Jurassic World: Fallen Kingdom,"$1,310,466,296 ","$417,719,760 ",31.90%,"$892,746,536 ",68.10%,2018
182,The Croods,"$587,235,983 ","$187,168,425 ",31.90%,"$400,067,558 ",68.10%,2013
158,Thor: The Dark World,"$644,783,140 ","$206,362,140 ",32%,"$438,421,000 ",68%,2013
58,Pirates of the Caribbean: At World's End,"$961,691,209 ","$309,420,425 ",32.20%,"$652,270,784 ",67.80%,2007
65,Harry Potter and the Half-Blood Prince,"$934,519,387 ","$302,334,374 ",32.40%,"$632,185,013 ",67.60%,2009
71,Harry Potter and the Goblet of Fire,"$896,815,106 ","$290,469,928 ",32.40%,"$606,345,178 ",67.60%,2005
47,Alice in Wonderland,"$1,025,468,216 ","$334,191,110 ",32.60%,"$691,277,106 ",67.40%,2010
9,The Lion King,"$1,663,075,401 ","$543,638,043 ",32.70%,"$1,119,437,358 ",67.30%,2019
14,Avengers: Age of Ultron,"$1,405,018,048 ","$459,005,868 ",32.70%,"$946,012,180 ",67.30%,2015
13,Frozen II,"$1,453,683,476 ","$477,373,578 ",32.80%,"$976,309,898 ",67.20%,2019
27,The Lord of the Rings: The Return of the King,"$1,146,457,748 ","$378,251,207 ",33%,"$768,206,541 ",67%,2003
6,Avengers: Infinity War,"$2,052,415,039 ","$678,815,482 ",33.10%,"$1,373,599,557 ",66.90%,2018
167,Ratatouille,"$623,726,085 ","$206,445,654 ",33.10%,"$417,280,431 ",66.90%,2007
46,Zootopia,"$1,025,521,689 ","$341,268,248 ",33.30%,"$684,253,441 ",66.70%,2016
165,Fast Five,"$626,137,675 ","$209,837,675 ",33.50%,"$416,300,000 ",66.50%,2011
23,Iron Man 3,"$1,215,577,205 ","$409,013,994 ",33.60%,"$806,563,211 ",66.40%,2013
41,Aladdin,"$1,054,304,000 ","$355,559,216 ",33.70%,"$698,744,784 ",66.30%,2019
152,Big Hero 6,"$657,869,686 ","$222,527,828 ",33.80%,"$435,341,858 ",66.20%,2014
197,The Day After Tomorrow,"$552,639,571 ","$186,740,799 ",33.80%,"$365,898,772 ",66.20%,2004
178,Tangled,"$592,462,816 ","$200,821,936 ",33.90%,"$391,640,880 ",66.10%,2010
160,Kung Fu Panda,"$632,083,197 ","$215,771,591 ",34.10%,"$416,311,606 ",65.90%,2008
192,Cars 2,"$559,852,396 ","$191,452,396 ",34.20%,"$368,400,000 ",65.80%,2011
145,Doctor Strange,"$677,796,076 ","$232,641,920 ",34.30%,"$445,154,156 ",65.70%,2016
87,The Twilight Saga: Breaking Dawn - Part 2,"$848,853,382 ","$292,324,737 ",34.40%,"$556,528,645 ",65.60%,2012
29,Spider-Man: Far from Home,"$1,131,927,996 ","$390,532,085 ",34.50%,"$741,395,911 ",65.50%,2019
117,The Amazing Spider-Man,"$757,930,663 ","$262,030,663 ",34.60%,"$495,900,000 ",65.40%,2012
151,Justice League,"$657,926,987 ","$229,024,295 ",34.80%,"$428,902,692 ",65.20%,2017
168,Ant-Man and the Wasp,"$622,674,139 ","$216,648,740 ",34.80%,"$406,025,399 ",65.20%,2018
88,Inception,"$836,848,102 ","$292,587,330 ",35%,"$544,260,772 ",65%,2010
70,The Lord of the Rings: The Fellowship of the Ring,"$898,204,420 ","$316,115,420 ",35.20%,"$582,089,000 ",64.80%,2001
25,Captain America: Civil War,"$1,155,046,416 ","$408,084,349 ",35.30%,"$746,962,067 ",64.70%,2016
125,Monsters University,"$743,559,645 ","$268,492,764 ",36.10%,"$475,066,881 ",63.90%,2013
61,The Lord of the Rings: The Two Towers,"$947,944,270 ","$342,952,511 ",36.20%,"$604,991,759 ",63.80%,2002
162,The Martian,"$630,620,818 ","$228,433,663 ",36.20%,"$402,187,155 ",63.80%,2015
163,Hancock,"$629,443,428 ","$227,946,274 ",36.20%,"$401,497,154 ",63.80%,2008
32,Jurassic Park,"$1,109,802,321 ","$404,214,720 ",36.40%,"$705,587,601 ",63.60%,1993
130,Captain America: The Winter Soldier,"$714,421,503 ","$259,766,572 ",36.40%,"$454,654,931 ",63.60%,2014
196,Armageddon,"$553,709,788 ","$201,578,182 ",36.40%,"$352,131,606 ",63.60%,1998
170,Logan,"$619,179,950 ","$226,277,068 ",36.50%,"$392,902,882 ",63.50%,2017
120,Gravity,"$748,049,949 ","$274,092,705 ",36.60%,"$473,957,244 ",63.40%,2013
86,Thor: Ragnarok,"$855,301,806 ","$315,058,289 ",36.80%,"$540,243,517 ",63.20%,2017
171,The Lost World: Jurassic Park,"$618,638,999 ","$229,086,679 ",37%,"$389,552,320 ",63%,1997
150,Moana,"$665,069,139 ","$248,757,044 ",37.40%,"$416,312,095 ",62.60%,2016
93,Independence Day,"$817,400,891 ","$306,169,268 ",37.50%,"$511,231,623 ",62.50%,1996
51,Jurassic World: Dominion,"$1,001,978,080 ","$376,851,080 ",37.60%,"$625,127,000 ",62.40%,2022
56,The Jungle Book,"$967,724,775 ","$364,001,123 ",37.60%,"$603,723,652 ",62.40%,2016
72,Spider-Man 3,"$894,983,373 ","$336,530,303 ",37.60%,"$558,453,070 ",62.40%,2007
30,Captain Marvel,"$1,131,416,446 ","$426,829,839 ",37.70%,"$704,586,607 ",62.30%,2019
78,Batman v Superman: Dawn of Justice,"$873,637,528 ","$330,360,194 ",37.80%,"$543,277,334 ",62.20%,2016
54,Despicable Me 2,"$970,766,005 ","$368,065,385 ",37.90%,"$602,700,620 ",62.10%,2013
76,Spider-Man: Homecoming,"$880,166,924 ","$334,201,140 ",38%,"$545,965,784 ",62%,2017
126,The Matrix Reloaded,"$741,847,937 ","$281,576,461 ",38%,"$460,271,476 ",62%,2003
177,War of the Worlds,"$603,873,119 ","$234,280,354 ",38.80%,"$369,592,765 ",61.20%,2005
38,Toy Story 3,"$1,067,316,101 ","$415,004,880 ",38.90%,"$652,311,221 ",61.10%,2010
8,Jurassic World,"$1,671,537,444 ","$653,406,625 ",39.10%,"$1,018,130,819 ",60.90%,2015
124,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115 ","$291,710,957 ",39.20%,"$453,302,158 ",60.80%,2005
193,King Kong,"$556,906,378 ","$218,080,025 ",39.20%,"$338,826,353 ",60.80%,2005
64,Minions: The Rise of Gru,"$939,628,210 ","$369,695,210 ",39.30%,"$569,933,000 ",60.70%,2022
200,Mission: Impossible II,"$546,388,108 ","$215,409,889 ",39.40%,"$330,978,219 ",60.60%,2000
131,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856 ","$281,287,133 ",39.50%,"$430,918,723 ",60.50%,2011
39,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747 ","$423,315,812 ",39.70%,"$642,863,935 ",60.30%,2006
96,Shrek the Third,"$813,367,380 ","$322,719,944 ",39.70%,"$490,647,436 ",60.30%,2007
20,Beauty and the Beast,"$1,266,115,964 ","$504,481,165 ",39.80%,"$761,634,799 ",60.20%,2017
198,Ted,"$549,368,315 ","$218,815,487 ",39.80%,"$330,552,828 ",60.20%,2012
127,Up,"$735,099,102 ","$293,004,164 ",39.90%,"$442,094,938 ",60.10%,2009
97,Jumanji: The Next Level,"$801,693,929 ","$320,314,960 ",40%,"$481,378,969 ",60%,2019
103,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942 ","$317,101,119 ",40.10%,"$473,552,823 ",59.90%,2008
37,Toy Story 4,"$1,073,841,394 ","$434,038,008 ",40.40%,"$639,803,386 ",59.60%,2019
63,Finding Nemo,"$941,637,960 ","$380,843,261 ",40.40%,"$560,794,699 ",59.60%,2003
52,Jumanji: Welcome to the Jungle,"$995,339,117 ","$404,540,171 ",40.60%,"$590,798,946 ",59.40%,2017
10,The Avengers,"$1,520,538,536 ","$623,357,910 ",41%,"$897,180,626 ",59%,2012
73,The Secret Life of Pets,"$894,328,469 ","$368,384,330 ",41.20%,"$525,944,139 ",58.80%,2016
106,Deadpool 2,"$785,896,609 ","$324,591,735 ",41.30%,"$461,304,874 ",58.70%,2018
34,The Dark Knight Rises,"$1,081,169,825 ","$448,149,584 ",41.40%,"$633,020,241 ",58.60%,2012
161,The Incredibles,"$631,607,053 ","$261,441,092 ",41.40%,"$370,165,961 ",58.60%,2004
83,Inside Out,"$858,848,019 ","$356,921,711 ",41.60%,"$501,926,308 ",58.40%,2015
132,The Twilight Saga: New Moon,"$711,025,481 ","$297,816,253 ",41.90%,"$413,209,228 ",58.10%,2009
7,Spider-Man: No Way Home,"$1,921,847,111 ","$814,115,070 ",42.40%,"$1,107,732,041 ",57.60%,2021
181,Men in Black,"$589,390,539 ","$250,690,539 ",42.50%,"$338,700,000 ",57.50%,1997
159,Sing,"$634,338,384 ","$270,578,425 ",42.70%,"$363,759,959 ",57.30%,2016
60,Doctor Strange in the Multiverse of Madness,"$955,775,804 ","$411,331,607 ",43%,"$544,444,197 ",57%,2022
138,The Twilight Saga: Eclipse,"$698,509,825 ","$300,531,751 ",43%,"$397,978,074 ",57%,2010
157,The Hunger Games: Mockingjay - Part 2,"$653,428,261 ","$281,723,902 ",43.10%,"$371,704,359 ",56.90%,2015
111,Guardians of the Galaxy,"$773,350,147 ","$333,718,600 ",43.20%,"$439,631,547 ",56.80%,2014
183,The Hangover Part II,"$586,764,305 ","$254,464,305 ",43.40%,"$332,300,000 ",56.60%,2011
122,Suicide Squad,"$746,846,894 ","$325,100,054 ",43.50%,"$421,746,840 ",56.50%,2016
55,The Lion King,"$968,511,805 ","$422,783,777 ",43.60%,"$545,728,028 ",56.40%,1994
146,The Sixth Sense,"$672,806,432 ","$293,506,292 ",43.60%,"$379,300,140 ",56.40%,1999
147,Man of Steel,"$668,045,518 ","$291,045,518 ",43.60%,"$377,000,000 ",56.40%,2013
188,Night at the Museum,"$574,481,229 ","$250,863,268 ",43.70%,"$323,617,961 ",56.30%,2006
80,Star Wars: Episode III - Revenge of the Sith,"$868,390,560 ","$380,270,577 ",43.80%,"$488,119,983 ",56.20%,2005
185,I Am Legend,"$585,410,052 ","$256,393,010 ",43.80%,"$329,017,042 ",56.20%,2007
118,The Hunger Games: Mockingjay - Part 1,"$755,356,711 ","$337,135,885 ",44.60%,"$418,220,826 ",55.40%,2014
134,Transformers,"$709,709,780 ","$319,246,193 ",45%,"$390,463,587 ",55%,2007
82,Guardians of the Galaxy Vol. 2,"$863,756,051 ","$389,813,101 ",45.10%,"$473,942,950 ",54.90%,2017
113,Thor: Love and Thunder,"$760,928,081 ","$343,256,830 ",45.10%,"$417,671,251 ",54.90%,2022
5,Star Wars: Episode VII - The Force Awakens,"$2,071,310,218 ","$936,662,225 ",45.20%,"$1,134,647,993 ",54.80%,2015
45,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707 ","$474,544,677 ",46.20%,"$552,538,030 ",53.80%,1999
107,Deadpool,"$782,836,791 ","$363,070,709 ",46.40%,"$419,766,082 ",53.60%,2016
17,Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706 ","$620,181,382 ",46.50%,"$714,226,324 ",53.50%,2017
154,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015 ","$305,413,918 ",46.70%,"$348,850,097 ",53.30%,2003
136,It,"$701,842,551 ","$328,874,981 ",46.90%,"$372,967,570 ",53.10%,2017
44,Finding Dory,"$1,029,266,989 ","$486,295,561 ",47.20%,"$542,971,428 ",52.80%,2016
104,Spider-Man 2,"$788,976,453 ","$373,585,825 ",47.40%,"$415,390,628 ",52.60%,2004
66,Shrek 2,"$928,760,770 ","$441,226,247 ",47.50%,"$487,534,523 ",52.50%,2004
156,Star Wars: Episode II - Attack of the Clones,"$653,779,970 ","$310,676,740 ",47.50%,"$343,103,230 ",52.50%,2002
35,Star Wars: Episode IX - The Rise of Skywalker,"$1,077,022,372 ","$515,202,542 ",47.80%,"$561,819,830 ",52.20%,2019
112,The Batman,"$770,945,583 ","$369,345,583 ",47.90%,"$401,600,000 ",52.10%,2022
89,Transformers: Revenge of the Fallen,"$836,303,693 ","$402,111,870 ",48.10%,"$434,191,823 ",51.90%,2009
12,Top Gun: Maverick,"$1,488,732,821 ","$718,732,821 ",48.30%,"$770,000,000 ",51.70%,2022
144,Forrest Gump,"$678,226,465 ","$330,455,270 ",48.70%,"$347,771,195 ",51.30%,1994
21,Incredibles 2,"$1,243,225,667 ","$608,581,744 ",49%,"$634,643,923 ",51%,2018
81,The Hunger Games: Catching Fire,"$865,011,746 ","$424,668,047 ",49.10%,"$440,343,699 ",50.90%,2013
90,Spider-Man,"$825,025,036 ","$407,022,860 ",49.30%,"$418,002,176 ",50.70%,2002
166,Iron Man 2,"$623,933,331 ","$312,433,331 ",50.10%,"$311,500,000 ",49.90%,2010
186,"Monsters, Inc.","$579,707,738 ","$290,642,256 ",50.10%,"$289,065,482 ",49.90%,2001
91,Wonder Woman,"$822,854,286 ","$412,845,172 ",50.20%,"$410,009,114 ",49.80%,2017
40,Rogue One: A Star Wars Story,"$1,058,682,142 ","$533,539,991 ",50.40%,"$525,142,151 ",49.60%,2016
15,Black Panther,"$1,349,926,083 ","$700,426,566 ",51.90%,"$649,499,517 ",48.10%,2018
84,Black Panther: Wakanda Forever,"$858,082,190 ","$453,743,634 ",52.90%,"$404,338,556 ",47.10%,2022
50,The Dark Knight,"$1,006,234,167 ","$534,987,076 ",53.20%,"$471,247,091 ",46.80%,2008
184,Iron Man,"$585,796,247 ","$319,034,126 ",54.50%,"$266,762,121 ",45.50%,2008
100,E.T. the Extra-Terrestrial,"$792,910,554 ","$437,141,279 ",55.10%,"$355,769,275 ",44.90%,1982
141,The Hunger Games,"$694,394,724 ","$408,010,692 ",58.80%,"$286,384,032 ",41.20%,2012
108,Star Wars: Episode IV - A New Hope,"$775,398,007 ","$460,998,507 ",59.40%,"$314,399,500 ",40.60%,1977
173,The Passion of the Christ,"$612,054,506 ","$370,782,930 ",60.60%,"$241,271,576 ",39.40%,2004
199,American Sniper,"$547,459,020 ","$350,159,020 ",64%,"$197,300,000 ",36%,2014
